Time(s),Voltage(V),Current(mA)
0,-0.7753568,-2.92725505
0.156000853,-0.1684098,-2.636049703
0.236105919,-0.15132892,-1.530609505
0.312165022,-0.12983388,-0.985727723
0.388125658,-0.1242682,-0.605688119
0.464000463,-0.11304088,-0.447496634
0.540132523,-0.09807112,-0.294530693
0.616153717,-0.07849528,-0.193345149
0.691999674,-0.0594952,-0.133013861
0.768159151,-0.0537376,0.002375248
0.844000101,-0.0436618,0.015676634
0.920058966,-0.0249496,0.053205545
0.996161699,-0.00508588,0.063181584
1.072062969,-0.0004798,0.118762376
1.148158312,0.01362632,0.109261386
1.224146128,0.03041932,0.118762376
1.300165415,0.045581,0.109261386
1.376146793,0.067172,0.127313267
1.452154398,0.0729296,0.173393069
1.528152227,0.08415692,0.151065743
1.612162352,0.10085396,0.132538812
1.687998533,0.12148536,0.123512871
1.764162302,0.1290662,0.173393069
1.840151787,0.13568744,0.127788317
1.916160107,0.15718248,0.085508911
2.000157356,0.17205628,0.072207525
2.076162815,0.19163212,-0.025652673
2.15215826,0.199117,-0.002375248
2.228156328,0.2106322,-0.072207525
2.303997278,0.22579388,-0.169117624
2.380159378,0.24536972,-0.332059604
2.455996752,0.26129908,-0.456522574
2.532160282,0.2696476,-0.513053465
2.608136415,0.28087492,-0.600462574
2.684151173,0.29584468,-0.736801782
2.760151386,0.31829932,-0.95912495
2.836154461,0.31829932,-0.999979208
2.912155867,0.33701152,-1.089763564
2.988139391,0.35965808,-1.223727525
3.064162493,0.37203692,-1.460302178
3.139997244,0.38796628,-1.603767129
3.224028349,0.3963148,-1.6793
3.308025122,0.40667848,-1.720154257
3.384162188,0.42251188,-1.910174059
3.460156918,0.44122408,-2.055064158
3.53606391,0.4524514,-2.142473267
3.61215806,0.45993628,-2.152449307
3.688150406,0.4769212,-2.301614851
3.764156103,0.49592128,-2.407550891
3.840158939,0.51271428,-2.454105743
3.916148424,0.522982,-2.352445149
3.992153406,0.53046688,-2.184277624
4.068156481,0.54630028,-2.041287723
4.144157648,0.56789128,-1.887371683
4.220129251,0.578159,-1.748182178
4.296150208,0.5848762,-1.63179505
4.372160912,0.60080556,-1.581914851
4.448156357,0.61970968,-1.505906931
4.524155617,0.63842188,-1.469328119
4.60014987,0.6496492,-1.395220396
4.676155806,0.65713408,-1.339639604
4.752059937,0.67392708,-1.326813267
4.828151464,0.69263928,-1.293559802
